ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
KMX,,,,,,,,,,,,,,,,,,,,,$134.59,22030448551.0,21.0,,
KO,,,,,,,,,,,,,,,,,,,,,$55.31,244637527006.0,52.0,,
KR,,,,,,,,,,20.53,36.4%,3.2,43.8%,0.22,1.2%,8.06,11.5%,1.39,4.8%,19.5%,$39.61,29433845768.0,72.0,$39.78,60852.0
KSS,,,,,,,,,,22.4,41.0%,1.75,24.0%,0.51,3.0%,7.16,8.1%,1.57,5.5%,16.3%,$57.38,8899841462.0,50.0,$56.95,42506.0
KSU,,,,,,,,,,,,,,,,,,,,,$286.21,26923539401.0,10.0,,
L,,,,,,,,,,-409.9,0.4%,0.88,9.9%,1.04,9.9%,8.29,13.5%,1.02,2.8%,7.3%,$56.31,15045848668.0,51.0,$56.64,42738.0
LB,398.86%,100.00%,100.50%,99.60%,20.22%,92.08%,4.18%,77.03%,92.18%,14.81,25.0%,-38.67,1.4%,1.57,20.0%,7.67,9.9%,3.9,19.6%,15.2%,$75.64,20513826679.0,38.0,$76.99,1050.0
LDOS,,,,,,,,,,,,,,,,,,,,,$104.43,14786901912.0,27.0,,
LEG,,,,,,,,,,,,,,,,,,,,,$52.70,6847514043.0,54.0,,
LEN,,,,,,,,,,,,,,,,,,,,,$106.86,31287083831.0,26.0,,
LH,,,,,,,,,,,,,,,,,,,,,$288.81,27388213858.0,9.0,,
LHX,,,,,,,,,,,,,,,,,,,,,$226.47,45275294729.0,12.0,,
LIN,,,,,,,,,,,,,,,,,,,,,$294.14,155959636747.0,9.0,,
LKQ,,,,,,,,,,,,,,,,,,,,,$49.96,15455209074.0,57.0,,
LLY,45.21%,49.11%,39.19%,87.72%,25.37%,97.23%,17.07%,98.61%,83.17%,,,,,,,,,,,,$232.32,222236704041.0,12.0,$241.94,334.0
LMT,,,,,,,,,,,,,,,,,,,,,$383.14,108022293670.0,7.0,,
LNC,,,,,,,,,,19.16,33.5%,0.64,8.9%,0.69,5.1%,16.11,47.3%,0.68,1.6%,19.3%,$66.91,12706718688.0,43.0,$65.04,37218.0
LNT,,,,,,,,,,,,,,,,,,,,,$57.87,14453340012.0,49.0,,
LOW,,,,,,,,,,,,,,,,,,,,,$196.18,143663015631.0,14.0,,
LRCX,,,,,,,,,,,,,,,,,,,,,$659.56,93572907309.0,4.0,,
LUV,,,,,,,,,,,,,,,,,,,,,$55.98,33231186589.0,51.0,,
LVS,,,,,,,,,,,,,,,,,,,,,$53.17,41544285312.0,54.0,,
LW,,,,,,,,,,,,,,,,,,,,,$84.60,11903365183.0,34.0,,
LYB,,,,,,,,,,,,,,,,,,,,,$103.60,35900597113.0,27.0,,
LYV,,,,,,,,,,,,,,,,,,,,,$89.06,20191542136.0,32.0,,
MA,,,,,,,,,,,,,,,,,,,,,$389.04,368112845475.0,7.0,,
MAA,,,,,,,,,,,,,,,,,,,,,$175.77,19969030644.0,16.0,,
MAR,,,,,,,,,,,,,,,,,,,,,$142.52,47604683223.0,20.0,,
MAS,,,,,,,,,,,,,,,,,,,,,$61.98,15362319570.0,46.0,,
MCD,,,,,,,,,,,,,,,,,,,,,$236.69,177005159857.0,12.0,,
MCHP,,,,,,,,,,,,,,,,,,,,,$149.80,41743557404.0,19.0,,
MCK,,,,,,,,,,-7.06,9.9%,-1507.2,0.4%,0.13,1.0%,7.57,9.3%,2.61,10.5%,6.2%,$200.55,31525288027.0,14.0,$195.80,12363.0
MCO,,,,,,,,,,,,,,,,,,,,,$382.80,71571037831.0,7.0,,
MDLZ,,,,,,,,,,,,,,,,,,,,,$62.80,89001577501.0,45.0,,
MDT,,,,,,,,,,,,,,,,,,,,,$128.38,174794285168.0,22.0,,
MET,,,,,,,,,,,,,,,,,,,,,$62.30,53347372952.0,46.0,,
MGM,163.78%,98.02%,39.94%,88.91%,9.94%,66.73%,0.31%,56.83%,77.62%,,,,,,,,,,,,$43.35,21997523796.0,66.0,$45.18,1790.0
MHK,,,,,,,,,,,,,,,,,,,,,$199.98,14117288140.0,14.0,,
MKC,,,,,,,,,,,,,,,,,,,,,$89.03,24271565512.0,32.0,,
MKTX,,,,,,,,,,,,,,,,,,,,,$468.47,17749906345.0,6.0,,
MLM,,,,,,,,,,,,,,,,,,,,,$352.20,22851873415.0,8.0,,
MMC,,,,,,,,,,,,,,,,,,,,,$148.95,76130658239.0,19.0,,
MMM,,,,,,,,,,,,,,,,,,,,,$206.40,115884796555.0,13.0,,
MNST,,,,,,,,,,,,,,,,,,,,,$96.14,49552372729.0,29.0,,
MO,,,,,,,,,,,,,,,,,,,,,$47.90,91208737145.0,60.0,,
MOS,,,,,,,,,,,,,,,,,,,,,$31.72,12109637525.0,90.0,,
MPC,,,,,,,,,,,,,,,,,,,,,$63.05,39822554703.0,45.0,,
MRK,,,,,,,,,,,,,,,,,,,,,$81.45,206116465050.0,35.0,,
MRO,141.58%,96.83%,116.28%,100.00%,20.86%,92.87%,3.04%,72.48%,90.54%,,,,,,,,,,,,$14.50,11399176638.0,198.0,$13.97,5790.0
MS,101.65%,89.70%,35.70%,83.96%,19.04%,90.89%,-0.10%,53.27%,79.46%,,,,,,,,,,,,$95.45,176470849212.0,30.0,$94.39,857.0
MSCI,58.95%,61.98%,20.80%,55.05%,25.11%,96.83%,16.24%,97.82%,77.92%,,,,,,,,,,,,$537.29,44239617529.0,5.0,$549.59,147.0
MSFT,,,,,,,,,,,,,,,,,,,,,$277.40,2153891769762.0,10.0,,
MSI,64.11%,67.92%,30.56%,76.63%,17.10%,87.52%,7.08%,85.54%,79.41%,,,,,,,,,,,,$226.26,37590591779.0,12.0,$224.78,359.0
MTB,,,,,,,,,,,,,,,,,,,,,$147.65,19629051575.0,19.0,,
MTD,,,,,,,,,,,,,,,,,,,,,$1422.29,33102449164.0,2.0,,
MU,,,,,,,,,,,,,,,,,,,,,$80.42,90569003315.0,35.0,,
MXIM,,,,,,,,,,,,,,,,,,,,,$105.84,28973176502.0,27.0,,
MYL,,,,,,,,,,,,,,,,,,,,,$16.08,8642088752.0,179.0,,
NBL,,,,,,,,,,,,,,,,,,,,,$8.77,4222496249.0,328.0,,
NCLH,,,,,,,,,,,,,,,,,,,,,$30.35,6325664241.0,95.0,,
NDAQ,47.92%,52.67%,35.04%,82.97%,17.55%,88.32%,7.55%,87.33%,77.82%,,,,,,,,,,,,$179.02,29424282314.0,16.0,$178.75,452.0
NEE,,,,,,,,,,,,,,,,,,,,,$74.34,145114859050.0,38.0,,
NEM,,,,,,,,,,,,,,,,,,,,,$65.53,52518837047.0,44.0,,
NFLX,,,,,,,,,,,,,,,,,,,,,$544.63,240815590920.0,5.0,,
NI,,,,,,,,,,,,,,,,,,,,,$25.09,9892173671.0,114.0,,
NKE,,,,,,,,,,,,,,,,,,,,,$163.50,251549312878.0,17.0,,
NLOK,,,,,,,,,,,,,,,,,,,,,$28.30,15863101532.0,101.0,,
NLSN,,,,,,,,,,,,,,,,,,,,,$25.76,8917437830.0,111.0,,
NOC,,,,,,,,,,,,,,,,,,,,,$371.67,59950227516.0,7.0,,
NOV,,,,,,,,,,,,,,,,,,,,,$16.04,6006068659.0,179.0,,
NOW,,,,,,,,,,,,,,,,,,,,,$552.24,111145380259.0,5.0,,
NRG,,,,,,,,,,,,,,,,,,,,,$41.60,10129354844.0,69.0,,
NSC,,,,,,,,,,,,,,,,,,,,,$274.36,68831075831.0,10.0,,
NTAP,99.87%,88.51%,26.11%,67.72%,12.38%,74.85%,7.10%,86.14%,79.31%,,,,,,,,,,,,$83.49,19172102973.0,34.0,$86.92,930.0
NTRS,,,,,,,,,,,,,,,,,,,,,$120.79,24245576264.0,23.0,,
NUE,,,,,,,,,,,,,,,,,,,,,$96.80,28919786098.0,29.0,,
NVDA,117.59%,92.67%,57.08%,96.24%,47.60%,100.00%,25.29%,99.60%,97.13%,,,,,,,,,,,,$835.79,523343056213.0,3.0,$836.32,96.0
NVR,,,,,,,,,,,,,,,,,,,,,$5352.41,18883946456.0,0.0,,
NWL,,,,,,,,,,,,,,,,,,,,,$27.28,12036778237.0,105.0,,
NWS,,,,,,,,,,,,,,,,,,,,,$25.67,15737993977.0,112.0,,
NWSA,,,,,,,,,,-300.39,0.8%,1.9,26.9%,1.8,24.8%,11.87,30.1%,1.66,6.1%,17.7%,$26.61,15088952583.0,108.0,$26.96,89789.0
O,,,,,,,,,,,,,,,,,,,,,$68.12,26387852516.0,42.0,,
ODFL,,,,,,,,,,,,,,,,,,,,,$268.43,30537729693.0,10.0,,
OKE,96.71%,87.33%,55.72%,96.04%,13.11%,77.03%,6.10%,83.17%,85.89%,,,,,,,,,,,,$57.27,25795206626.0,50.0,$58.29,1387.0
OMC,,,,,,,,,,,,,,,,,,,,,$82.96,17546935324.0,34.0,,
ORCL,,,,,,,,,,,,,,,,,,,,,$82.04,231251045338.0,35.0,,
ORLY,,,,,,,,,,,,,,,,,,,,,$582.00,40351799826.0,4.0,,
OTIS,,,,,,,,,,,,,,,,,,,,,$82.85,36306124917.0,34.0,,
OXY,92.75%,85.54%,91.00%,99.21%,20.26%,92.28%,15.90%,97.43%,93.61%,,,,,,,,,,,,$34.00,30437631858.0,84.0,$32.72,2472.0
PAYC,,,,,,,,,,,,,,,,,,,,,$394.87,22902178156.0,7.0,,
PAYX,,,,,,,,,,,,,,,,,,,,,$112.22,40534487069.0,25.0,,
PBCT,,,,,,,,,,,,,,,,,,,,,$17.39,7432073294.0,165.0,,
PCAR,,,,,,,,,,,,,,,,,,,,,$90.22,32235834286.0,31.0,,
PEAK,,,,,,,,,,,,,,,,,,,,,$34.43,18207527333.0,83.0,,
PEG,,,,,,,,,,,,,,,,,,,,,$62.92,31136600908.0,45.0,,
PEP,,,,,,,,,,,,,,,,,,,,,$154.00,214496002176.0,18.0,,
PFE,,,,,,,,,,,,,,,,,,,,,$39.74,222990863342.0,72.0,,
PFG,,,,,,,,,,11.1,17.8%,1.13,11.5%,1.28,14.3%,7.86,11.1%,1.25,4.0%,11.7%,$65.20,17663930636.0,44.0,$63.87,37900.0
PG,,,,,,,,,,,,,,,,,,,,,$137.12,342235301559.0,21.0,,
PGR,,,,,,,,,,9.0,14.3%,3.42,47.2%,1.35,16.1%,6.67,7.1%,1.3,4.2%,17.8%,$99.03,59590304445.0,29.0,$99.93,24224.0
PH,,,,,,,,,,,,,,,,,,,,,$323.09,40776686755.0,8.0,,
PHM,,,,,,,,,,10.38,16.2%,2.22,32.3%,1.3,14.6%,7.49,8.9%,5.04,26.1%,19.6%,$56.70,15013490408.0,50.0,$55.52,43600.0
PKG,,,,,,,,,,,,,,,,,,,,,$136.22,13149986505.0,21.0,,
PKI,,,,,,,,,,,,,,,,,,,,,$157.51,17336825573.0,18.0,,
PLD,,,,,,,,,,,,,,,,,,,,,$126.32,93532261212.0,22.0,,
PM,,,,,,,,,,,,,,,,,,,,,$104.03,160259279564.0,27.0,,
PNC,,,,,,,,,,,,,,,,,,,,,$199.58,81860720768.0,14.0,,
PNR,,,,,,,,,,,,,,,,,,,,,$67.96,11492844012.0,42.0,,
PNW,,,,,,,,,,,,,,,,,,,,,$85.77,9646898451.0,33.0,,
PPG,,,,,,,,,,,,,,,,,,,,,$173.70,40762255318.0,16.0,,
PPL,,,,,,,,,,,,,,,,,,,,,$28.81,22136033626.0,100.0,,
PRGO,,,,,,,,,,-28.54,5.1%,1.14,11.7%,1.32,15.2%,12.55,33.7%,5.57,30.1%,19.2%,$48.10,6390405946.0,59.0,$48.27,50149.0
PRU,,,,,,,,,,15.43,25.9%,0.72,9.3%,0.68,5.0%,10.57,23.0%,0.65,1.4%,12.9%,$107.26,40561794559.0,26.0,$107.42,22535.0
PSA,58.41%,61.58%,32.45%,79.80%,20.38%,92.48%,5.92%,82.57%,79.11%,,,,,,,,,,,,$307.90,55246246243.0,9.0,$304.53,265.0
PSX,,,,,,,,,,,,,,,,,,,,,$89.91,38336902388.0,32.0,,
PVH,,,,,,,,,,,,,,,,,,,,,$110.34,8069425841.0,26.0,,
PWR,,,,,,,,,,,,,,,,,,,,,$92.96,13068177674.0,31.0,,
PXD,,,,,,,,,,,,,,,,,,,,,$172.73,41492262599.0,16.0,,
PYPL,64.49%,68.32%,24.22%,63.76%,16.90%,86.93%,12.01%,94.65%,78.42%,,,,,,,,,,,,$299.81,341802483128.0,9.0,$294.51,274.0
QCOM,,,,,,,,,,,,,,,,,,,,,$145.39,162405023179.0,19.0,,
QRVO,,,,,,,,,,,,,,,,,,,,,$204.84,22025611958.0,14.0,,
RCL,,,,,,,,,,,,,,,,,,,,,$88.66,21767886615.0,32.0,,
RE,,,,,,,,,,12.49,19.8%,1.3,15.0%,1.26,13.9%,12.56,33.9%,1.2,3.8%,17.2%,$260.01,12715738732.0,11.0,$263.12,9200.0
REG,,,,,,,,,,,,,,,,,,,,,$66.34,11483804656.0,43.0,,
REGN,,,,,,,,,,,,,,,,,,,,,$579.07,63284039921.0,4.0,,
RF,,,,,,,,,,,,,,,,,,,,,$20.47,20280703859.0,140.0,,
RHI,,,,,,,,,,,,,,,,,,,,,$90.82,10335871121.0,31.0,,
RJF,,,,,,,,,,,,,,,,,,,,,$135.54,19026239803.0,21.0,,
RL,,,,,,,,,,,,,,,,,,,,,$119.78,8573315813.0,24.0,,
RMD,,,,,,,,,,,,,,,,,,,,,$259.09,36594013884.0,11.0,,
ROK,,,,,,,,,,,,,,,,,,,,,$286.75,33090838844.0,10.0,,
ROL,,,,,,,,,,,,,,,,,,,,,$34.67,17642874898.0,83.0,,
ROP,,,,,,,,,,,,,,,,,,,,,$477.79,51168130222.0,6.0,,
ROST,,,,,,,,,,,,,,,,,,,,,$126.23,44704700821.0,22.0,,
RSG,,,,,,,,,,,,,,,,,,,,,$114.20,36487924553.0,25.0,,
RTX,,,,,,,,,,,,,,,,,,,,,$86.80,134086743377.0,33.0,,
SBAC,,,,,,,,,,,,,,,,,,,,,$332.36,36329800466.0,8.0,,
SBUX,,,,,,,,,,,,,,,,,,,,,$119.74,139403792731.0,24.0,,
SCHW,,,,,,,,,,,,,,,,,,,,,$75.22,139353367960.0,38.0,,
SEE,89.41%,84.16%,31.34%,78.22%,31.38%,98.81%,2.67%,70.30%,82.87%,,,,,,,,,,,,$59.14,9083604653.0,48.0,$61.73,1310.0
SHW,,,,,,,,,,,,,,,,,,,,,$284.95,74608058089.0,10.0,,
SIVB,,,,,,,,,,,,,,,,,,,,,$575.58,31993146331.0,5.0,,
SJM,,,,,,,,,,,,,,,,,,,,,$130.18,14114050064.0,22.0,,
SLB,91.79%,85.15%,52.33%,95.64%,18.22%,89.50%,0.43%,57.03%,81.83%,,,,,,,,,,,,$34.23,47431237442.0,84.0,$33.38,2423.0
SLG,,,,,,,,,,,,,,,,,,,,,$83.13,5769320348.0,34.0,,
SNA,,,,,,,,,,,,,,,,,,,,,$223.59,12256125448.0,12.0,,
SNPS,,,,,,,,,,,,,,,,,,,,,$283.00,43837023635.0,10.0,,
SO,,,,,,,,,,,,,,,,,,,,,$61.41,67632607463.0,46.0,,
SPG,106.97%,90.69%,59.83%,97.23%,16.95%,87.33%,-0.91%,47.33%,80.64%,,,,,,,,,,,,$138.07,43382365627.0,20.0,$136.05,594.0
SPGI,,,,,,,,,,,,,,,,,,,,,$419.51,102979072563.0,6.0,,
SRE,,,,,,,,,,,,,,,,,,,,,$133.64,40707511961.0,21.0,,
STE,,,,,,,,,,,,,,,,,,,,,$219.79,18358180838.0,13.0,,
STT,,,,,,,,,,,,,,,,,,,,,$84.72,29631514995.0,34.0,,
STX,,,,,,,,,,22.19,40.6%,0.0,8.5%,0.0,0.4%,2.93,4.4%,1.44,5.0%,11.8%,$89.29,0.0,32.0,$87.79,27573.0
STZ,,,,,,,,,,,,,,,,,,,,,$240.50,45185869233.0,11.0,,
SWK,,,,,,,,,,,,,,,,,,,,,$212.45,34478305719.0,13.0,,
SWKS,,,,,,,,,,,,,,,,,,,,,$200.80,31936863780.0,14.0,,
SYF,134.00%,95.84%,43.43%,91.88%,18.04%,89.11%,-0.21%,51.68%,82.13%,,,,,,,,,,,,$49.93,29049797006.0,57.0,$50.18,1612.0
SYK,,,,,,,,,,,,,,,,,,,,,$275.91,100904829861.0,10.0,,
SYY,,,,,,,,,,,,,,,,,,,,,$76.79,40241091416.0,37.0,,
T,,,,,,,,,,-86.69,2.2%,1.28,14.5%,1.23,13.0%,7.11,7.9%,4.14,20.6%,11.6%,$30.05,211565289597.0,95.0,$30.26,79997.0
TAP,,,,,,,,,,-15.7,7.3%,0.94,10.3%,1.24,13.4%,8.14,12.1%,4.91,24.2%,13.4%,$53.68,11313596685.0,53.0,$55.79,43389.0
TDG,,,,,,,,,,,,,,,,,,,,,$664.00,37549207313.0,4.0,,
TDY,,,,,,,,,,,,,,,,,,,,,$432.31,15891983912.0,6.0,,
TEL,,,,,,,,,,,,,,,,,,,,,$140.00,46991062292.0,20.0,,
TFC,,,,,,,,,,,,,,,,,,,,,$58.15,75837425216.0,49.0,,
TFX,,,,,,,,,,,,,,,,,,,,,$416.04,19549556118.0,6.0,,
TGT,107.93%,91.29%,38.78%,87.33%,22.71%,94.65%,7.28%,86.93%,90.05%,,,,,,,,,,,,$249.93,126740211811.0,11.0,$256.84,314.0
TIF,,,,,,,,,,,,,,,,,,,,,$136.16,16382788607.0,21.0,,
TJX,,,,,,,,,,,,,,,,,,,,,$69.98,84849129115.0,41.0,,
TMO,,,,,,,,,,,,,,,,,,,,,$521.58,207045246598.0,5.0,,
TMUS,,,,,,,,,,,,,,,,,,,,,$149.25,188593423588.0,19.0,,
TPR,,,,,,,,,,,,,,,,,,,,,$43.10,12015429442.0,66.0,,
TROW,73.32%,74.85%,37.32%,85.35%,17.61%,88.51%,7.09%,85.74%,83.61%,,,,,,,,,,,,$204.45,45735919381.0,14.0,$209.02,387.0
TRV,,,,,,,,,,13.89,23.2%,1.39,17.1%,1.22,12.7%,9.07,16.4%,1.18,3.6%,14.6%,$152.61,39636910159.0,18.0,$152.29,15895.0
TSCO,,,,,,,,,,,,,,,,,,,,,$192.73,22166304434.0,14.0,,
TSN,,,,,,,,,,12.94,20.8%,1.71,23.2%,0.63,4.6%,8.24,13.3%,6.7,37.8%,19.9%,$77.18,27149209993.0,37.0,$74.89,32323.0
TT,,,,,,,,,,,,,,,,,,,,,$195.55,46772977427.0,14.0,,
TTWO,,,,,,,,,,,,,,,,,,,,,$184.19,20838922377.0,15.0,,
TWTR,125.48%,94.65%,26.19%,68.12%,6.83%,56.24%,19.27%,99.21%,79.55%,,,,,,,,,,,,$69.88,56177759371.0,41.0,$69.20,1169.0
TXN,,,,,,,,,,,,,,,,,,,,,$193.88,182072797334.0,14.0,,
TXT,121.70%,93.86%,43.49%,92.48%,21.33%,93.27%,0.01%,55.05%,83.66%,,,,,,,,,,,,$71.15,15630281220.0,40.0,$71.19,1136.0
TYL,,,,,,,,,,,,,,,,,,,,,$483.46,18838786474.0,5.0,,
UA,,,,,,,,,,,,,,,,,,,,,$18.62,9076201651.0,154.0,,
UAA,,,,,,,,,,,,,,,,,,,,,$21.10,9090860672.0,136.0,,
UAL,,,,,,,,,,,,,,,,,,,,,$53.85,17278937844.0,53.0,,
UDR,,,,,,,,,,,,,,,,,,,,,$52.06,15463550371.0,55.0,,
UHS,,,,,,,,,,12.97,21.0%,2.02,29.4%,1.13,10.7%,8.19,12.3%,1.32,4.4%,15.5%,$155.20,13099667991.0,18.0,$158.43,15279.0
ULTA,,,,,,,,,,,,,,,,,,,,,$347.96,19552150550.0,8.0,,
UNH,,,,,,,,,,,,,,,,,,,,,$417.06,396882642685.0,6.0,,
UNM,,,,,,,,,,7.77,13.3%,0.56,8.7%,0.46,2.2%,3.6,4.8%,0.43,1.0%,6.0%,$29.62,6019422713.0,97.0,$29.04,83358.0
UNP,,,,,,,,,,,,,,,,,,,,,$235.90,153434042688.0,12.0,,
UPS,,,,,,,,,,,,,,,,,,,,,$212.89,186070293365.0,13.0,,
URI,,,,,,,,,,,,,,,,,,,,,$334.35,23898019752.0,8.0,,
USB,,,,,,,,,,,,,,,,,,,,,$57.56,89824516803.0,50.0,,
V,,,,,,,,,,,,,,,,,,,,,$244.63,529537932811.0,11.0,,
VAR,,,,,,,,,,,,,,,,,,,,,$181.78,16901974121.0,15.0,,
VFC,,,,,,,,,,,,,,,,,,,,,$84.34,32949447684.0,34.0,,
VIAC,,,,,,,,,,10.08,15.6%,1.5,18.3%,1.1,10.5%,7.68,10.3%,1.52,5.3%,12.0%,$45.91,29276711029.0,62.0,$45.20,53555.0
VLO,,,,,,,,,,,,,,,,,,,,,$81.00,32573075302.0,35.0,,
VMC,,,,,,,,,,,,,,,,,,,,,$176.40,22902550224.0,16.0,,
VNO,,,,,,,,,,,,,,,,,,,,,$47.50,9247094796.0,60.0,,
VRSK,,,,,,,,,,,,,,,,,,,,,$184.17,29218567737.0,15.0,,
VRSN,,,,,,,,,,,,,,,,,,,,,$238.10,27249631768.0,12.0,,
VRTX,,,,,,,,,,,,,,,,,,,,,$205.00,53873624127.0,14.0,,
VTR,,,,,,,,,,,,,,,,,,,,,$59.39,21485238758.0,48.0,,
VZ,,,,,,,,,,,,,,,,,,,,,$57.49,235072685610.0,50.0,,
WAB,,,,,,,,,,,,,,,,,,,,,$83.04,15861775220.0,34.0,,
WAT,95.71%,86.73%,43.62%,92.87%,24.16%,96.04%,10.55%,92.28%,91.98%,,,,,,,,,,,,$367.35,21730655981.0,7.0,$359.10,225.0
WBA,,,,,,,,,,19.12,33.3%,1.96,28.5%,0.31,1.4%,11.52,28.3%,1.95,7.7%,19.8%,$49.41,42181608510.0,58.0,$48.45,49963.0
WDC,,,,,,,,,,,,,,,,,,,,,$72.85,22503429377.0,39.0,,
WEC,,,,,,,,,,,,,,,,,,,,,$91.75,29123213568.0,31.0,,
WELL,63.42%,66.73%,32.81%,80.40%,15.65%,84.36%,9.40%,91.29%,80.69%,,,,,,,,,,,,$88.16,35533542158.0,32.0,$89.08,908.0
WFC,,,,,,,,,,,,,,,,,,,,,$46.18,187994002869.0,62.0,,
WHR,,,,,,,,,,10.8,17.5%,3.3,45.1%,0.68,4.8%,7.24,8.5%,3.94,20.0%,19.2%,$224.01,14074708019.0,12.0,$225.26,10746.0
WLTW,,,,,,,,,,,,,,,,,,,,,$238.47,30987773987.0,12.0,,
WM,,,,,,,,,,,,,,,,,,,,,$144.72,61332623788.0,19.0,,
WMB,,,,,,,,,,,,,,,,,,,,,$27.79,32441655633.0,103.0,,
WMT,,,,,,,,,,,,,,,,,,,,,$144.08,393196584282.0,20.0,,
WRB,,,,,,,,,,,,,,,,,,,,,$77.23,13853652646.0,37.0,,
WRK,,,,,,,,,,-19.6,6.7%,1.32,15.4%,0.84,7.1%,9.18,16.8%,7.44,43.2%,17.9%,$52.94,14196277731.0,54.0,$54.00,44828.0
WST,62.19%,65.94%,28.30%,72.48%,28.32%,98.02%,6.76%,84.55%,80.25%,,,,,,,,,,,,$377.46,27069651064.0,7.0,$380.82,212.0
WU,,,,,,,,,,,,,,,,,,,,,$24.24,9606522502.0,118.0,,
WY,,,,,,,,,,,,,,,,,,,,,$34.68,26232312011.0,83.0,,
WYNN,,,,,,,,,,,,,,,,,,,,,$122.20,14736495517.0,23.0,,
XEL,,,,,,,,,,,,,,,,,,,,,$69.40,36462279067.0,41.0,,
XLNX,,,,,,,,,,,,,,,,,,,,,$142.04,35063766426.0,20.0,,
XOM,58.31%,61.39%,58.99%,97.03%,12.33%,74.65%,4.69%,79.60%,78.17%,-14.58,7.5%,1.8,25.0%,1.5,19.3%,14.2,41.2%,1.79,6.3%,19.9%,$63.69,276071873089.0,45.0,$64.83,1247.0
XRAY,,,,,,,,,,,,,,,,,,,,,$64.10,14361424788.0,44.0,,
XRX,,,,,,,,,,,,,,,,,,,,,$25.36,4661865779.0,113.0,,
XYL,,,,,,,,,,,,,,,,,,,,,$121.67,22335326291.0,23.0,,
YUM,,,,,,,,,,,,,,,,,,,,,$117.58,35686928114.0,24.0,,
ZBH,,,,,,,,,,,,,,,,,,,,,$169.75,35663188582.0,16.0,,
ZBRA,117.22%,92.48%,38.83%,87.52%,8.33%,60.59%,6.00%,82.97%,80.89%,,,,,,,,,,,,$539.07,28693278427.0,5.0,$543.80,148.0
ZION,,,,,,,,,,6.6,12.9%,1.19,12.9%,2.52,36.2%,5.24,5.7%,2.56,10.3%,15.6%,$55.40,8927101668.0,52.0,$53.42,45314.0
ZTS,,,,,,,,,,,,,,,,,,,,,$196.27,92314697471.0,14.0,,
